Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g48509-d5831578-Reviews-Stinger_s_Irish_Pub-Rockville_Centre_Long_Island_New_York.html,"Stinger's is your favorite neighborhood pub. Daily Happy Hour and Great Pub Food highlight our newly renovated bar located in the heart of Rockville Centre, NY. Join Us to watch the game or try one of our seasonal local craft beers. Having a party? Let us cater your next event or host your birthday with our open bar packages",#5 of 8 things to do in Rockville Centre,Stinger's Irish Pub,5 ,,Rockville Centre,NY,300 Sunrise Highway,15167630737,11570,,"Sat - Sun 12:00 pm - 4:00 am , Mon - Fri 4:00 pm - 4:00 am , ",stingerspub.rvc@gmail.com,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g48509-d5832418-Reviews-Lindsay_s-Rockville_Centre_Long_Island_New_York.html,,#4 of 8 things to do in Rockville Centre,Lindsay's,4 ,,Rockville Centre,NY,59 North Park Ave.,(516) 442-3344,11570,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g48509-d5845371-Reviews-Cabo-Rockville_Centre_Long_Island_New_York.html,,#3 of 8 things to do in Rockville Centre,Cabo,16 ,,Rockville Centre,NY,3A North Park Ave.,516-255-0065,11570,,"Sun - Sat 11:30 am - 11:59 pm , Sat - Sun 12:00 am - 3:00 am , Mon - Fri 12:00 am - 1:00 am , ",,4
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g48509-d5834106-Reviews-The_Dark_Horse_Tavern-Rockville_Centre_Long_Island_New_York.html,,#7 of 8 things to do in Rockville Centre,The Dark Horse Tavern,2 ,,Rockville Centre,NY,12 S. Park Ave,(516) 442-5477,11570,,"Sun - Sat 12:00 pm - 4:00 am , ",,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g48509-d5840982-Reviews-Monaghan_s_Bar_Restaurant-Rockville_Centre_Long_Island_New_York.html,,#1 of 8 things to do in Rockville Centre,Monaghan's Bar & Restaurant,17 ,,Rockville Centre,NY,48 N Village Ave,(516) 764-6372,11570,,"Sun - Sat 4:00 pm - 12:00 am , ",,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g48509-d5829104-Reviews-Cannon_s_Blackthorn-Rockville_Centre_Long_Island_New_York.html,"Cannon's Blackthorn has continued to be Rockville Centre's favorite Irish Bar. Boasting some of the best live music in Rockville Centre and an unbeatable Happy Hour, Blackthorn is the meeting place for all occasions. Our two inside bar and outside patio bar keep the cold pints flowing and mix a mean cocktail to complement our weekly bands and DJs.",#2 of 8 things to do in Rockville Centre,Cannon's Blackthorn,13 ,,Rockville Centre,NY,49 North Village Avenue,+1 516-594-1222,11570,,"Sat - Sun 12:00 pm - 4:00 am , Mon - Fri 4:00 pm - 4:00 am , ",,3
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55454-d5845653-Reviews-Mi_Co_s_Place-Bay_City_Texas.html,,#7 of 8 things to do in Bay City,Mi/Co's Place,,,"Bay City,Bay City,Bay City,Bay City","TX,TX,TX,TX","1520 Ave I,2304 Norvell Avenue,2601 7th street,1520 Ave I",(979) 000-0000,"77414,77414,77414,77414",,,,
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g55454-d534872-Reviews-Matagorda_County_Birding_Nature_Center-Bay_City_Texas.html,,#1 of 8 things to do in Bay City,Matagorda County Birding Nature Center,16 ,,Bay City,TX,,979-245-3336,77414,,,,2
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55454-d5833441-Reviews-Big_E_S_BBQ-Bay_City_Texas.html,,#8 of 8 things to do in Bay City,Big E'S BBQ,,,"Bay City,Bay City,Bay City,Bay City","TX,TX,TX,TX","2601 7th street,2304 Norvell Avenue,2601 7th street,1520 Ave I",(979) 479-1604,"77414,77414,77414,77414",,,,
,,"Art Galleries, Museums, Shopping",,https://www.tripadvisor.com/Attraction_Review-g55483-d10212972-Reviews-Desert_Flower_Art_Gallery-Big_Spring_Texas.html,,#8 of 8 things to do in Big Spring,Desert Flower Art Gallery,1 ,,Big Spring,TX,123 S Main St,+1 315 480 6340,79720,,,jeannine254@yahoo.com,0
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g55596-d2272707-Reviews-Wolfdancer_Golf_Club-Cedar_Creek_Texas.html,,#1 of 8 things to do in Cedar Creek,Wolfdancer Golf Club,49 ,,Cedar Creek,TX,575 Hyatt Lost Pines Road,(512) 308-9653,78612 ,,,,3
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g55217-d734863-Reviews-Millstone_Golf_Club-Morristown_Tennessee.html,,#8 of 8 things to do in Morristown,Millstone Golf Club,3 ,,Morristown,TN,450 Alpha Valley Home Road,(423) 586-4000,37813,,,,0
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g54838-d1072492-Reviews-National_Music_Museum-Vermillion_South_Dakota.html,,#1 of 8 things to do in Vermillion,National Music Museum,70 ,,Vermillion,SD,414 East Clark Street,+1 605-677-5306,57069,,"Sun 1:00 pm - 5:00 pm , Mon - Sat 9:00 am - 5:00 pm , ",nmm@usd.edu,0
,,"Other Outdoor Activities, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g54435-d4155118-Reviews-Boat_Charleston-Seabrook_Island_South_Carolina.html,,#8 of 8 things to do in Seabrook Island,Boat Charleston,,,"Seabrook Island,Seabrook Island,Seabrook Island","SC,SC,SC","Bohicket Marina,1880 Andell Bluff Blvd,Bohicket Marina",,29455,,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55217-d5847150-Reviews-One_More_Bar_Grill-Morristown_Tennessee.html,,#7 of 8 things to do in Morristown,One More Bar & Grill,1 ,,Morristown,TN,251 Spencer Hale Road,423-581-3171,37813,,,,0
,,"Boat Rentals, Gear Rentals, Boat Tours & Water Sports, Outdoor Activities, Tours, More",,https://www.tripadvisor.com/Attraction_Review-g54425-d8416181-Reviews-Jocassee_Keowee_Rentals_LLC-Salem_South_Carolina.html,,#6 of 8 things to do in Salem,Jocassee Keowee Rentals LLC,4 ,,Salem,SC,15071 North Highway,(864) 704-0004,29676,,,,0
,,"Lessons & Workshops, Classes & Workshops",,https://www.tripadvisor.com/Attraction_Review-g54515-d2038297-Reviews-Black_HIlls_School_of_Woodworking-Belle_Fourche_South_Dakota.html,,#7 of 8 things to do in Belle Fourche,Black HIlls School of Woodworking,2 ,,Belle Fourche,SD,606 6th Avenue,605.591.2947,57717,,,,0
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g54425-d4205600-Reviews-The_Little_Brair_Patch-Salem_South_Carolina.html,,#8 of 8 things to do in Salem,The Little Brair Patch,,,"Salem,Salem","SC,SC","2505 Van Buren St,2505 Van Buren St",,,,,,
,,Spas & Wellness,,https://www.tripadvisor.com/Attraction_Review-g54399-d2103688-Reviews-Medimorphosis-Port_Royal_South_Carolina.html,,#8 of 8 things to do in Port Royal,Medimorphosis,,,"Port Royal,Port Royal","SC,SC","1616 West Paris Ave,1616 West Paris Ave",843-368-0997,"29935,29935",,,info@medimorphosisonline.com,
,,"Other Outdoor Activities, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g54425-d6964005-Reviews-Jocassee_Outdoor_Center-Salem_South_Carolina.html,,#5 of 8 things to do in Salem,Jocassee Outdoor Center,11 ,,Salem,SC,516 Jocassee Lake Rd,(864) 944-9016,29676,,"Sun - Sat 7:00 am - 8:00 pm , ",,0
,,Nature & Parks,,https://www.tripadvisor.com/Attraction_Review-g54399-d1940107-Reviews-Lowcountry_Estuarium-Port_Royal_South_Carolina.html,,#6 of 8 things to do in Port Royal,Lowcountry Estuarium,4 ,,Port Royal,SC,1402 Paris Ave,(843) 524-6600,29935,,,,0
,,"Boat Tours & Water Sports, Outdoor Activities, Tours",,https://www.tripadvisor.com/Attraction_Review-g54399-d3961704-Reviews-Sea_Wolf_Charters-Port_Royal_South_Carolina.html,,#5 of 8 things to do in Port Royal,Sea Wolf Charters,7 ,,Port Royal,SC,1 Landing Drive,843-525-1174,29935,,"Sun - Sat 7:00 am - 9:00 pm , ",info@seawolfcharter.com,0
,,"Flea & Street Markets, Shopping",,https://www.tripadvisor.com/Attraction_Review-g54399-d2204526-Reviews-Port_Royal_Farmers_Market-Port_Royal_South_Carolina.html,,#4 of 8 things to do in Port Royal,Port Royal Farmers Market,11 ,,Port Royal,SC,Naval Heritage Park,,,,"Sat 9:00 am - 12:00 pm , ",,0
,,"Boat Tours & Water Sports, Outdoor Activities, Tours",,https://www.tripadvisor.com/Attraction_Review-g54425-d3242882-Reviews-Ultimate_Action_Sports-Salem_South_Carolina.html,"Ultimate Action Sports is a Ski Boat and Jet Ski rental business serving Lake Jocassee and Lake Keowee. We provide everything you need for a perfect day on the lake. Wakeboards, Skis, Kneeboards, Tubes, Neoprene Life Jackets, even Chartered Tours are available. We have the best equipment on the water including Yamaha VX Deluxe Waverunners, Sea Ray 230 Watersport Boat, Sea Ray 210 Ski Boat, and a MasterCraft X-15 Wakeboard Edition. Call us today!",#4 of 8 things to do in Salem,Ultimate Action Sports,12 ,,Salem,SC,187C Boone Creek Road,864-944-1887,29676,,"Sun - Sat 8:00 am - 6:00 pm , ",info@keoweewatersports.com,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g54364-d5839486-Reviews-Too_Hot_Mamas_Bar_Tapas_Grill-Newberry_South_Carolina.html,,#8 of 8 things to do in Newberry,Too Hot Mamas Bar & Tapas Grill,,,"Newberry,Newberry,Newberry","SC,SC,SC","1250 Wilson Rd,1401 Martin St,1250 Wilson Rd",(803) 580-0919,"29108,29108,29108",,,,
,,"Beaches, Outdoor Activities, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g54399-d1940108-Reviews-The_Sands-Port_Royal_South_Carolina.html,,#3 of 8 things to do in Port Royal,The Sands,48 ,,Port Royal,SC,London Ave,,,,,,7
,,"Fishing Charters & Tours, Boat Tours & Water Sports, Outdoor Activities, Tours",,https://www.tripadvisor.com/Attraction_Review-g54399-d3514463-Reviews-Cast_Away_Fishing_Charters-Port_Royal_South_Carolina.html,"I’m Captain Tim Deckard, – I‘ve been fishing in the Low Country for the past 18 years and as a guide for 11. In 2012, we partnered with Shallow Sport, makers of the ultimate shallow water running fishing boats. Part of being a good fisherman is having the right equipment and these boats are the best of the best. Their unique hull design allows for tremendous rough water performance, and still permits for maneuvering in the shallow flats, where we’ll find Redfish, Trout, Flounder, Tarpon, Cobia and other near shore species. Our charters offer novice anglers as well as seasoned sports fishermen the chance to reel in impressive trophy fish. The Lowcountry’s remarkable saltwater ecosystem is unique and varied, and provides our guests exciting options for year round adventures: Spring (March–May): Redfish, Trout, Flounder, Spanish Mackerel, Whiting, Black Drum, Sheepshead, Cobia, & Jacks. Summer (June–August): Redfish, Trout, Flounder, Spanish & King Mackerel, Jacks, Ladyfish, & Tarpon. Fall (September–November): Redfish, Trout, Flounder, Whiting, Sheepshead, Black Drum, Ladyfish, & Sharks. Winter (December–February): Redfish, Trout, Sheepshead, Black Drum & Whiting. Welcome aboard and enjoy a fun, exciting day fishing in Beaufort! Cast Away Charters and Shallow Sport ~ Catch More Fish! Captain Tim Deckard USCG Licensed Captain 50 Ton Master ~ Beaufort Fishing Guide",#1 of 8 things to do in Port Royal,Cast Away Fishing Charters,80 ,,Port Royal,SC,1006 Madrid Avenue,843-322-1043,29935,,,tim@beaufortcastawaycharter.com,0
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g54399-d3216570-Reviews-Cypress_Wetlands-Port_Royal_South_Carolina.html,,#2 of 8 things to do in Port Royal,Cypress Wetlands,48 ,,Port Royal,SC,Paris Ave,,,,,,4
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g60175-d143827-Reviews-St_Croix_Rod_Company-Park_Falls_Wisconsin.html,,#8 of 8 things to do in Park Falls,St Croix Rod Company,,,"Park Falls,Park Falls","WI,WI",,,,,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60112-d5830895-Reviews-Johnny_T_s_Tropicana-Mosinee_Wisconsin.html,,#8 of 8 things to do in Mosinee,Johnny T's Tropicana,,,"Mosinee,Mosinee,Mosinee","WI,WI,WI","503 State Highway 153,2410 Brooks Road,503 State Highway 153",(715) 692-9000,"54455,54455,54455",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60175-d5843644-Reviews-Sugarbush_Bar_Grill-Park_Falls_Wisconsin.html,,#7 of 8 things to do in Park Falls,Sugarbush Bar & Grill,,,"Park Falls,Park Falls","WI,WI","N15764 Sugar Bush Rd,N15764 Sugar Bush Rd",715-762-4040,"54552,54552",,,,
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g60112-d8099506-Reviews-Central_Wisconsin_Children_s_Theatre-Mosinee_Wisconsin.html,,#6 of 8 things to do in Mosinee,Central Wisconsin Children's Theatre,,,"Mosinee,Mosinee","WI,WI","1485 Village Way Drive,1485 Village Way Drive",715-842-4416,"54455,54455",,,contact@mycwct.org,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60112-d5839452-Reviews-Lynda_s_Wolf_Den-Mosinee_Wisconsin.html,,#7 of 8 things to do in Mosinee,Lynda's Wolf Den,,,"Mosinee,Mosinee,Mosinee","WI,WI,WI","2410 Brooks Road,2410 Brooks Road,503 State Highway 153",715) 457-2439,"54455,54455,54455",,,,
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g60293-d4374268-Reviews-Spooner_Golf_Club-Spooner_Wisconsin.html,,#7 of 8 things to do in Spooner,Spooner Golf Club,2 ,,Spooner,WI,W6120 County Highway H,,,,,,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60287-d5845745-Reviews-Roadhouse_35_Bar_Grill-Somerset_Wisconsin.html,,#8 of 8 things to do in Somerset,Roadhouse 35 Bar & Grill,,,"Somerset,Somerset","WI,WI","698 200th Avenue,698 200th Avenue",715 247 2221,"54026,54026",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g2058365-d5843237-Reviews-Racks_Sports_Bar_Grill-Gold_Canyon_Arizona.html,,#8 of 8 things to do in Gold Canyon,Racks Sports Bar & Grill,,,"Gold Canyon,Gold Canyon","AZ,AZ","8654 East Topaz Drive,8654 East Topaz Drive",(480)982-7225,"85118,85118",,,,
,,"Other Fun & Games, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g60293-d5112499-Reviews-Northwoods_Lanes_Lounge-Spooner_Wisconsin.html,,#8 of 8 things to do in Spooner,Northwoods Lanes & Lounge,,,"Spooner,Spooner","WI,WI","412 river Street North,412 river Street North",,,,"Sun 11:00 am - 12:00 am , Wed - Fri 4:00 pm - 2:00 am , Sat 11:00 am - 2:00 am , ",,
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g59165-d1569539-Reviews-Morning_Star_Folk_Arts-Hillsboro_West_Virginia.html,,#8 of 8 things to do in Hillsboro,Morning Star Folk Arts,,,"Hillsboro,Hillsboro","WV,WV","Route 219 N,Route 219 N",(304) 653-4397,,,,,
,,"Ranches, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g59149-d6215670-Reviews-Elk_Branch_Lodge-Hedgesville_West_Virginia.html,"Stay in comfort surrounded by nature. This five-bedroom, three bath home in the historic Shenandoah Valley is surround by 120 acres of wooded and pastoral land and public forest. Bring your mountain bike, canoe, fishing rod, hiking gear and binoculars. The lodge offers well-marked trail system for horseback riding, mountain biking and hiking and much more!",#8 of 8 things to do in Hedgesville,Elk Branch Lodge,,,"Hedgesville,Hedgesville","WV,WV","2223 Sleepy Creek Rd,2223 Sleepy Creek Rd",+(1)304.671.3415,"25427,25427",,,,
,,"State Parks, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g59165-d1554352-Reviews-Beartown_State_Park-Hillsboro_West_Virginia.html,"Beartown State Park is a natural area of 107 acres located on the eastern summit of Droop Mountain, seven miles southwest of Hillsboro, West Virginia. The name Beartown was chosen because local residents claimed that the many cave-like openings in the rocks made ideal winter dens for the black bears of the area. Also, the many deep, narrow crevasses were formed in a somewhat regular criss-cross pattern and appear from above like the streets of a small town. Beartown is noted for its unusual rock formations, which are comprised of Droop, or Pottsville, Sandstone formed during the Pennsylvanian age. Massive boulders, overhanging cliffs, and deep crevasses stir the imagination of most visitors. Pocketing the face of the cliffs are hundreds of eroded pits, ranging from the size of marbles to others large enough to hold two grown men. Ice and snow commonly remain in the deeper crevasses until mid to late summer. Vegetation clings tenaciously to life, sending roots into mere cracks in the rocks.The land was purchased in 1970 with funds from the Nature Conservancy and a donation from Mrs. Edwin G. Polan, in memory of her son, Ronald Keith Neal, who lost his life in the Vietnam War. Development of the park has been minimal in order to preserve the natural attractions of the area. However, basic facilities are provided, and a boardwalk permits easy access. Interpretive signs along the boardwalk guide visitors and provide insights concerning the ecology of the area. The park is open daily from April to October. During the closed winter season foot travel to the boardwalk area is welcome, with parking available at the closed entrance gate. Group tours may be arranged by contacting the Superintendent at nearby Droop Mountain Battlefield State Park. No fee is charged to visit Beartown.",#1 of 8 things to do in Hillsboro,Beartown State Park,53 ,,Hillsboro,WV,Route . 219,,,,,,0
,,"Hiking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g58612-d3411532-Reviews-Governor_s_Walk-Milton_Washington.html,,#8 of 8 things to do in Milton,Governor's Walk,,,"Milton,Milton,Milton","WA,WA,WA","Magnolia Street & Mulberry Street,Fowler Beach Rd,Magnolia Street & Mulberry Street",,,,,,
,,"Antique Stores, Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g58517-d8865768-Reviews-Owly_s_Wayside_Nest-Hoodsport_Washington.html,,#8 of 8 things to do in Hoodsport,Owly's Wayside Nest,,,"Hoodsport,Hoodsport,Hoodsport","WA,WA,WA","24252 N US Highway 101,24180 N US Hwy 101,24252 N US Highway 101",,"98548,98548",,"Sat - Sun 10:30 am - 5:00 pm , ",hoot@owlys.com,
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g58517-d9453614-Reviews-Octopus_Garden_Jewelry-Hoodsport_Washington.html,,#7 of 8 things to do in Hoodsport,Octopus Garden Jewelry,,,"Hoodsport,Hoodsport,Hoodsport","WA,WA,WA","24180 N US Hwy 101,24180 N US Hwy 101,24252 N US Highway 101",3608775530,98548,,,,
,,"Bodies of Water, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g58612-d3411552-Reviews-Wagamon_s_Pond-Milton_Washington.html,,#7 of 8 things to do in Milton,Wagamon's Pond,,,"Milton,Milton,Milton,Milton,Milton,Milton,Milton","WA,WA,WA,WA,WA,WA,WA","Mulberry St,Fowler Beach Rd,Sandhill Rd & Bangor Ln,Mulberry St,Route 257, Round Pole Bridge Road,Magnolia Street & Mulberry Street,Cods Rd",,,,,,
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g58517-d3618272-Reviews-Stottle_Winery_Tasting_Room_Hoodsport-Hoodsport_Washington.html,"Stop in and taste award winning Washington wines from Stottle Winery while you tour the beautiful Olympic Peninsula. Stottle has a wide selection of Red and White wines including Viognier, Cabernet, and Syrah. Tasting is free with your purchase of wine.",#5 of 8 things to do in Hoodsport,Stottle Winery Tasting Room Hoodsport,4 ,,Hoodsport,WA,24180 Highway 101,360-877-2247,98548,,"Wed - Sun 11:00 am - 5:00 pm , ",info@stottlewinery.com,0
,,"Ranches, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g32627-d108053-Reviews-Old_Sierra_Pioneer_Mountain_Man_Camp-Lincoln_California.html,,#8 of 8 things to do in Lincoln,Old Sierra Pioneer & Mountain Man Camp,1 ,,Lincoln,CA,8675 Valley Road,916-645-7238,95648,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g32738-d5843595-Reviews-Spirit_House-Monterey_Park_California.html,,#7 of 8 things to do in Monterey Park,Spirit House,,,"Monterey Park,Monterey Park","CA,CA","123 S Lincoln Ave,123 S Lincoln Ave",(626) 872-0353,"91755,91755",,,,
,,"Educational sites, Monuments & Statues, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g32738-d7675332-Reviews-American_and_Chinese_World_War_II_Memorial_Monument-Monterey_Park_California.html,,#6 of 8 things to do in Monterey Park,American and Chinese World War II Memorial Monument,,,"Monterey Park,Monterey Park,Monterey Park","CA,CA,CA","320 West Newmark Ave,781 S. Orange Avenue Monterey Park, CA 91754,320 West Newmark Ave",,"91754,91754,91754",,,,
,,"Natural History Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g32590-d592160-Reviews-Orange_County_Natural_History_Museum-Laguna_Niguel_California.html,,#8 of 8 things to do in Laguna Niguel,Orange County Natural History Museum,1 ,,Laguna Niguel,CA,28373 Alicia Parkway,+1 949 831 3287,92677,,,,0
,,Spas & Wellness,,https://www.tripadvisor.com/Attraction_Review-g32590-d3810369-Reviews-Massage_Envy_Spa_Laguna_Niguel_Plaza-Laguna_Niguel_California.html,"Did you know that massage therapy can help to improve your overall health, especially when you schedule more regular sessions? By making massage part of your wellness routine, it can help increase energy and refresh your mental attitude. Combined with Murad Healthy Skin facials, you'll not only feel healthier, but look healthier too.",#7 of 8 things to do in Laguna Niguel,Massage Envy Spa Laguna Niguel Plaza,4 ,,Laguna Niguel,CA,30065 Alicia Parkway,949 495-8100,92677,,,LagunaNiguel@expertmassagetherapy.com,1
,,Spas & Wellness,,https://www.tripadvisor.com/Attraction_Review-g32590-d618093-Reviews-Euro_Day_Spa-Laguna_Niguel_California.html,,#6 of 8 things to do in Laguna Niguel,Euro Day Spa,6 ,,Laguna Niguel,CA,27281 La Paz Road,949.831.2006,92677,,"Sun 10:00 am - 5:00 pm , Mon - Sat 9:00 am - 7:00 pm , ",,0
,,"Gardens, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g32573-d127284-Reviews-Descanso_Gardens-La_Canada_Flintridge_California.html,"Located 20 minutes from downtown Los Angeles, Descanso Gardens is a botanical garden and place of year-round natural beauty, with internationally renowned botanical collections and spectacular seasonal horticultural displays. Accredited by the American Association of Museums as a museum of living collections, Descanso Gardens welcomes 250,000 visitors annually. The principal collections include California native plants and oak woodlands; one of the largest concentration of camellia plants in the Western Hemisphere; a rose garden with specimens from all corners of the globe; and significant presentations of lilacs, maple trees, cherry trees and iris. It has been designated an International Camellia Garden of Excellence by the International Camellia Society.",#1 of 8 things to do in La Canada Flintridge,Descanso Gardens,202 ,,La Canada Flintridge,CA,1418 Descanso Drive,+1 818-949-4200,91011,,"Sun - Sat 9:00 am - 5:00 pm , ",,14
,,"Sacred & Religious Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g32420-d124541-Reviews-Crystal_Cathedral-Garden_Grove_California.html,"Unique cathedral composed of 10,000 panes of glass forming a four-pointed star.",#1 of 8 things to do in Garden Grove,Crystal Cathedral,185 ,,Garden Grove,CA,12141 Lewis Street,714 971 4000,92840,,,,21
,,"Nature & Wildlife Tours, Tours, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g32406-d1832283-Reviews-Orange_County_Private_Bird_Tours-Fountain_Valley_California.html,"We provide bird tours for families, groups & clubs who are interested in enjoying the exciting bird-life of Orange County.Call now to arrange a birding adventure at a time and place convenient for you.We will help you identify and will teach you about the diverse bird population in Orange County.We are confident that we will provide you with a great birding experience.Both beginner birders and seasoned veterans are welcome!!",#8 of 8 things to do in Fountain Valley,Orange County Private Bird Tours,,,"Fountain Valley,Fountain Valley","CA,CA","18821 Capense,18821 Capense",714-968-2480,"92708,92708",,,mark@orangecountybirdtours.com,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g32260-d5841553-Reviews-The_Rendezvous_Bar-Covina_California.html,,#8 of 8 things to do in Covina,The Rendezvous Bar,,,"Covina,Covina,Covina","CA,CA,CA","570 E San Bernardino Rd.,943 N. Citrus Ave.,570 E San Bernardino Rd.",(626) 966-6887,"91723,91722,91723",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g32260-d5843274-Reviews-Chatterbox-Covina_California.html,,#7 of 8 things to do in Covina,Chatterbox,,,"Covina,Covina,Covina","CA,CA,CA","943 N. Citrus Ave.,943 N. Citrus Ave.,570 E San Bernardino Rd.",(626) 331-7500,"91722,91722,91723",,"Sun - Sat 6:00 pm - 2:00 am , ",,
,,"Bars & Clubs, Karaoke Bars, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g32260-d5833505-Reviews-Bishamon_Karaoke_Lounge_2F-Covina_California.html,,#6 of 8 things to do in Covina,Bishamon Karaoke Lounge 2F,2 ,,Covina,CA,139 N Citrus Ave 2F,626-967-5900,91723,,"Fri - Sat 5:00 pm - 10:00 pm , Tue - Sat 11:30 am - 2:30 pm , Sun - Thu 5:00 pm - 9:30 pm , ",,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g32260-d5841884-Reviews-Bread_Barley-Covina_California.html,,#1 of 8 things to do in Covina,Bread & Barley,16 ,,Covina,CA,130 N. Citrus Avenue,,91723,,"Thu - Sat 11:00 am - 2:00 am , Sun - Wed 11:00 am - 11:00 pm , ",,3
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g32390-d2604565-Reviews-Tibbies_Center_Stage_Theater-Fontana_California.html,,#5 of 8 things to do in Fontana,Tibbies Center Stage Theater,9 ,,Fontana,CA,8463 Sierra Ave,909-429-7469,92335,,"Mon - Sat 10:00 am - 6:00 pm , ",,1
,,"Adrenaline & Extreme Tours, Tours, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g32390-d4045944-Reviews-Allen_Berg_Racing_School-Fontana_California.html,,#7 of 8 things to do in Fontana,Allen Berg Racing School,3 ,,Fontana,CA,9300 Cherry Avenue,(909) 212-7687,92335 ,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g32260-d5834598-Reviews-AzoVINO_Gift_Gallery_Wine-Covina_California.html,,#3 of 8 things to do in Covina,AzoVINO Gift Gallery & Wine,4 ,,Covina,CA,144 W Badillo st,626-732-9827,91723,,"Tue - Sat 2:00 pm - 12:00 am , ",,0
,,"Adrenaline & Extreme Tours, Tours, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g32390-d1728065-Reviews-Richard_Petty_Driving_Experience-Fontana_California.html,Get behind the wheel in one of our 8 – 80 lap driving programs or Ride-Along shotgun for 3 high-speed laps at over 20 tracks nationwide – including Auto Club Speedway! S,#6 of 8 things to do in Fontana,Richard Petty Driving Experience,4 ,,Fontana,CA,9300 Cherry Avenue,800-237-3889,92335,,,,0
